Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.8,73.7,75.9,76,..
Botswana,BWA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.5,100,99.8,..
Brazil,BRA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,48.7063179315612,49.5515086694254,49.5867372379443,..,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
British Virgin Islands,VGB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Brunei Darussalam,BRN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.8,100,100,..
Bulgaria,BGR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,71.4424664296342,72.4466484525242,73.4566071745563,..,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5,19,19.5,21.7,..
Burkina Faso,BFA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,9.16008163277577,9.45673152152991,9.74647406601398,..,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.1,10.2,10.3,11.6,..
Burundi,BDI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.7,95.5,97.1,98.6,..
Cabo Verde,CPV,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.4,82.5,92.3,95,..
Cambodia,KHM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,33.6428089117546,35.2201965774342,36.7328900790653,..,..
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.3,65.4,71,72,..
Cameroon,CMR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Canada,CAN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,83.995518679184,83.9264931471003,83.9269746474995,..,..
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Cayman Islands,CYM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.4,15.7,15.7,17.6,..
Central African Republic,CAF,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,13.6038064731592,13.263273625482,13.3469110130017,..,..
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.9,11.3,11.7,12,..
Chad,TCD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,10.6224909961037,10.8338040500972,10.9121947607573,..,..
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Channel Islands,CHI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Chile,CHL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,95.2628448029614,95.2920244547787,95.3228228384528,..,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
China,CHN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,64.6096780871316,65.9328271010443,67.220232502194,..,..
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,100,98.7,..
Colombia,COL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,18.1713637419349,18.3074560277274,18.4429900960156,..,..
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.6,87.9,89.9,89.8,..
Comoros,COM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.1,20.8,21.5,22.1,..
